Tweet,Emojiset
RT maykahangtoran: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT DEATHBALL13: Meanwhile 🤡🤡Joey you’re hiding out in your basement ( command centre) North Korea fires ballistic missile, neighbours say Toe 2Toe With Putin. Lost Toe 2Toe With China Lost Toe 2Toe With Korea Lost Toe 2Toe With Covid Lost Toe 2Toe With Inflation Lost Many More LossesJoey https://t.co/GpBdqyulQ0",🤡🤡
RT minimeuu: Já apanhaste COVID!? Me:não 😬 RT - SIM FAV - NÃO,😬
RT sarinhaavps: Já apanhaste COVID!? Me:não 😬 RT - SIM FAV - NÃO,😬
"RT fann961: 7-day average daily Covid deaths per 1 million population, latest figures: Hong Kong 🇭🇰 8.15 United States 🇺🇸 5.23 Japan 🇯🇵 1.87 UK 🇬🇧 1.80 Canada 🇨🇦 1.79 Australia 🇦🇺 1.36 Singapore 🇸🇬 1.36","🇭🇰,🇺🇸,🇯🇵,🇬🇧,🇨🇦,🇦🇺,🇸🇬"
@YGBikubang Mmg tk boleh sebut covid ke😅,😅
🕯️manifestando no tener covid porque tengo una excursión a Santiago esta semana🕯️,"🕯️,🕯️"
RT Asguardianking: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
"RT RoyaumeJahino7: 🗣️: ""La photo de cette femme qui est apparue dans les médias du monde entier au sujet de l'Ukraine a été prise lors d'une explosion de gaz en 2018."" Intéressant de constater que l'affaire ukrainienne est traitée avec les mêmes ressorts de manipulation que l'affaire Covid... https://t.co/cSS7P5z8fu",🗣️
"RT ArthezD: Non non tjrs rien à signaler 😡⬇️ Augmentation monstrueuse des cas de péricardite et de myocardite ! 😕 N'oubliez pas que la deuxième barre rouge ne reflète que le mois de janvier et une partie de février, où sera-t-elle en décembre... ? https://t.co/WAKpKPWgv4 https://t.co/vXQ8sPitHj","😡⬇️,😕"
RT gayfootballfan: First day off in a month Horny Meets arranged with @Otter_leo & @FrancoB34880503 ...and I have covid 🤬 #uncutcock #uncutcocks #teamuncut #foreskin #ginger #gingerbush #gingerpubes #naked #nude #boner #morningwood #gingerboy #tradie #tradies #scally #scallylad #chav #scallylads https://t.co/LgY4QLerhl,🤬
RT piedpprlyher: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
"RT gayrabbint: 🪙🙏 please help 🙏 🪙 i genuinely need big help. My condition is not good. I need you guys to understand my problem. covid-19, made my situation worst. Any help is great link: https://t.co/WflEUNWOa7 paypal: https://t.co/2ekneMdUcF #KindnessMatters #MutualAidRequest #GoFundMe","🙏,🙏"
RT RenRenSJ10969: We really made VP Leni Robredo enumerate everything she has done during the COVID-19 pandemic that she had to rap 😭 #10RobredoPresident #IpanaloNa10To #CNNPHPresidentialDebate https://t.co/IIO4blA9xm,😭
RT _smash14: That one time my family got covid so i hotboxed my room🤣🤣🤣🤣 cuz they couldnt smell https://t.co/7VnEKQQq2A,🤣🤣🤣🤣
